0.5819 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
5.3385 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000243425B2D68>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000243425DE710>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.3391 	EXP 	window1: mouseVisible = True
5.3392 	EXP 	window1: recordFrameIntervals = False
5.4999 	EXP 	window1: recordFrameIntervals = True
5.6836 	EXP 	window1: recordFrameIntervals = False
6.0105 	EXP 	Created Instr_CategCaras_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.06, italic=False, languageStyle='LTR', name='Instr_CategCaras_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='norm', win=Window(...), wrapWidth=1)
6.1261 	EXP 	Created Next_button_CategCaras_image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='Images/next_button.png', interpolate=True, mask=None, maskParams=None, name='Next_button_CategCaras_image', opacity=1, ori=0.0, pos=array([ 0.8, -0.8]), size=array([0.140625, 0.25    ]), texRes=128.0, units='norm', win=Window(...))
6.1262 	EXP 	window1: mouseVisible = True
6.1279 	EXP 	Created FruitVeg_image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='FruitVeg_image', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.28125, 0.5    ]), texRes=128.0, units='norm', win=Window(...))
6.1279 	EXP 	window1: mouseVisible = True
6.1279 	EXP 	window1: mouseVisible = True
6.1297 	EXP 	Created Train_CategCaras_Izq_polygon = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-3.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=UNKNOWN, interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=UNKNOWN, lineWidth=1.0, name='Train_CategCaras_Izq_polygon', opacity=1, ori=0.0, pos=array([-0.75,  0.75]), size=array([0.140625, 0.25    ]), units='norm', vertices=ndarray(...), win=Window(...))
6.1303 	EXP 	Created Train_CategCaras_Der_polygon = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-4.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=UNKNOWN, interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=UNKNOWN, lineWidth=1.0, name='Train_CategCaras_Der_polygon', opacity=1, ori=0.0, pos=array([0.75, 0.75]), size=array([0.140625, 0.25    ]), units='norm', vertices=ndarray(...), win=Window(...))
6.1308 	EXP 	Created Train_CategCaras_Inferior_polygon = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-5.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=UNKNOWN, interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=UNKNOWN, lineWidth=1.0, name='Train_CategCaras_Inferior_polygon', opacity=1, ori=0.0, pos=array([ 0. , -0.8]), size=array([0.140625, 0.25    ]), units='norm', vertices=ndarray(...), win=Window(...))
